name,finish_time_fairness
roberta-base@rte-0,0.36281
roberta-base@rte-1,0.50794
roberta-base@rte-2,0.38647
roberta-base@rte-3,0.41344
roberta-base@rte-4,0.36281
roberta-base@rte-5,0.50794
roberta-base@rte-6,0.57971
roberta-base@rte-7,0.62016
roberta-base@rte-8,0.36281
roberta-base@rte-9,0.50794
roberta-base@rte-10,0.38647
roberta-base@rte-11,0.41344
roberta-base@rte-12,0.36281
roberta-base@rte-13,0.50794
roberta-base@rte-14,0.69211
roberta-base@rte-15,0.62016
roberta-base@rte-16,0.48375
roberta-base@rte-17,0.77714
roberta-base@rte-18,0.38647
roberta-base@rte-19,0.82687
roberta-base@rte-20,0.48375
roberta-base@rte-21,0.50794
roberta-base@rte-22,0.77295
roberta-base@rte-23,0.94711
roberta-base@rte-24,0.48375
roberta-base@rte-25,0.50794
roberta-base@rte-26,0.77295
roberta-base@qqp-27,0.00249
roberta-base@qqp-28,0.03484
roberta-base@qqp-29,0.00264
roberta-base@qqp-30,0.00284
roberta-base@qqp-31,0.02403
roberta-base@qqp-32,0.00348
roberta-base@qqp-33,0.00397
roberta-base@qqp-34,0.00426
roberta-base@qqp-35,0.00249
roberta-base@qqp-36,0.04646
roberta-base@qqp-37,0.00264
roberta-base@qqp-38,0.00284
roberta-base@qqp-39,0.00249
roberta-base@qqp-40,0.00348
roberta-base@qqp-41,0.07402
roberta-base@qqp-42,0.00426
roberta-base@qqp-43,0.00331
roberta-base@qqp-44,0.07085
roberta-base@qqp-45,0.00264
roberta-base@qqp-46,0.09879
roberta-base@qqp-47,0.00331
roberta-base@qqp-48,0.00348
roberta-base@qqp-49,0.0912
roberta-base@qqp-50,0.04116
roberta-base@qqp-51,0.00331
roberta-base@qqp-52,0.00348
roberta-base@qqp-53,0.04362
