name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@mrpc-0,45,255,604.3455929756165,649.3455929756165,1,9170,1
roberta-large@qnli-1,1280,220,7879.3455929756165,9159.345592975616,1,235674.0,1
roberta-large@sst2-2,1987,113,1516.3455929756165,3503.3455929756165,1,84190.0,2
roberta-large@qnli-3,2634,66,2039.3455929756165,4673.3455929756165,1,235674.0,4
roberta-large@qnli-4,2660,40,3930.3455929756165,6590.3455929756165,1,235674.0,2
roberta-large@sst2-5,3002,298,707.3455929756165,3709.3455929756165,1,84190.0,8
roberta-large@qnli-6,4853,247,1290.3455929756165,6143.3455929756165,1,235674.0,8
roberta-large@mnli-7,4906,194,12869.345592975616,17775.345592975616,1,785408.0,2
roberta-large@qqp-8,6003,897,15821.691185951233,21824.691185951233,2,909620.0,2
roberta-large@mnli-9,6111,189,12864.345592975616,18975.345592975616,1,785408.0,2
roberta-large@qnli-10,7246,254,2227.3455929756165,9473.345592975616,1,235674.0,4
roberta-large@sst2-11,7328,172,908.3455929756165,8236.345592975616,1,84190.0,4
roberta-large@wnli-12,7516,284,385.34559297561646,7901.3455929756165,1,1590.0,1
roberta-large@rte-13,8067,33,245.34559297561646,8312.345592975616,1,4984.0,1
roberta-large@rte-14,8364,36,248.34559297561646,8612.345592975616,1,4984.0,1
roberta-large@qnli-15,8748,252,4142.3455929756165,12890.345592975616,1,235674.0,2
roberta-large@qnli-16,8768,232,7891.3455929756165,16659.345592975616,1,235674.0,1
roberta-large@rte-17,9147,153,365.34559297561646,9512.345592975616,1,4984.0,1
roberta-large@wnli-18,9538,62,163.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@mrpc-19,9538,62,411.34559297561646,9949.345592975616,1,9170,1
roberta-large@wnli-20,9539,61,162.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@qnli-21,9612,288,7947.3455929756165,17559.345592975616,1,235674.0,1
roberta-large@wnli-22,10052,148,249.34559297561646,10301.345592975616,1,1590.0,1
roberta-large@mrpc-23,10462,38,387.34559297561646,10849.345592975616,1,9170,1
roberta-large@sst2-24,10617,183,1586.3455929756165,12203.345592975616,1,84190.0,2
roberta-large@mnli-25,10618,1982,5484.036778926849,16102.03677892685,3,785408.0,8
roberta-large@rte-26,11194,206,342.34559297561646,11536.345592975616,1,4984.0,2
roberta-large@rte-27,11696,4,216.34559297561646,11912.345592975616,1,4984.0,1
roberta-large@stsb-28,11714,286,751.3455929756165,12465.345592975616,1,12942.0,1
roberta-large@sst2-29,12456,144,382.34559297561646,12838.345592975616,1,84190.0,16
roberta-large@stsb-30,13108,92,557.3455929756165,13665.345592975616,1,12942.0,1
roberta-large@rte-31,13468,32,244.34559297561646,13712.345592975616,1,4984.0,1
roberta-large@sst2-32,13470,30,766.3455929756165,14236.345592975616,1,84190.0,4
roberta-large@rte-33,13911,189,401.34559297561646,14312.345592975616,1,4984.0,1
roberta-large@qqp-34,14031,369,4305.691185951233,18336.691185951233,2,909620.0,8
roberta-large@qqp-35,14109,291,4177.3455929756165,18286.345592975616,1,909620.0,8
roberta-large@sst2-36,14275,125,2881.3455929756165,17156.345592975616,1,84190.0,1
roberta-large@rte-37,16030,170,382.34559297561646,16412.345592975616,1,4984.0,1
roberta-large@mrpc-38,17132,268,617.3455929756165,17749.345592975616,1,9170,1
roberta-large@snli-39,17263,6737,10405.03677892685,27668.03677892685,3,824064.0,8
roberta-large@wnli-40,18835,65,166.34559297561646,19001.345592975616,1,1590.0,1
roberta-large@qnli-41,19136,64,1107.3455929756165,20243.345592975616,1,235674.0,8
roberta-large@qqp-42,19137,7263,11298.382371902466,30435.382371902466,4,909620.0,8
roberta-large@sst2-43,19137,63,472.34559297561646,19609.345592975616,1,84190.0,8
roberta-large@sst2-44,19247,553,962.3455929756165,20209.345592975616,1,84190.0,8
roberta-large@qnli-45,20006,94,3984.3455929756165,23990.345592975616,1,235674.0,2
roberta-large@stsb-46,21258,42,507.34559297561646,21765.345592975616,1,12942.0,1
roberta-large@qnli-47,21547,53,1096.3455929756165,22643.345592975616,1,235674.0,8
roberta-large@sst2-48,21548,52,461.34559297561646,22009.345592975616,1,84190.0,8
roberta-large@qnli-49,21548,52,1095.3455929756165,22643.345592975616,1,235674.0,8
roberta-large@sst2-50,21548,652,1061.3455929756165,22609.345592975616,1,84190.0,8
roberta-large@mrpc-51,21891,9,358.34559297561646,22249.345592975616,1,9170,1
roberta-large@qnli-52,22260,540,1583.3455929756165,23843.345592975616,1,235674.0,8
roberta-large@wnli-53,22395,105,206.34559297561646,22601.345592975616,1,1590.0,1
roberta-large@qnli-54,22654,146,1189.3455929756165,23843.345592975616,1,235674.0,8
roberta-large@sst2-55,22654,146,555.3455929756165,23209.345592975616,1,84190.0,8
roberta-large@sst2-56,22654,746,1155.3455929756165,23809.345592975616,1,84190.0,8
roberta-large@qnli-57,22654,1346,2389.3455929756165,25043.345592975616,1,235674.0,8
roberta-large@sst2-58,22655,1345,1754.3455929756165,24409.345592975616,1,84190.0,8
roberta-large@sst2-59,22655,1345,1754.3455929756165,24409.345592975616,1,84190.0,8
roberta-large@qnli-60,22655,1345,2388.3455929756165,25043.345592975616,1,235674.0,8
roberta-large@sst2-61,22655,1945,2354.3455929756165,25009.345592975616,1,84190.0,8
roberta-large@sst2-62,22655,1945,2354.3455929756165,25009.345592975616,1,84190.0,8
roberta-large@sst2-63,22655,2545,2954.3455929756165,25609.345592975616,1,84190.0,8
roberta-large@sst2-64,22655,2545,2954.3455929756165,25609.345592975616,1,84190.0,8
roberta-large@sst2-65,22655,2545,2954.3455929756165,25609.345592975616,1,84190.0,8
roberta-large@sst2-66,23166,2034,2443.3455929756165,25609.345592975616,1,84190.0,8
roberta-large@sst2-67,23298,2502,2911.3455929756165,26209.345592975616,1,84190.0,8
roberta-large@qnli-68,23298,2502,3545.3455929756165,26843.345592975616,1,235674.0,8
roberta-large@qnli-69,23833,1967,3010.3455929756165,26843.345592975616,1,235674.0,8
roberta-large@qnli-70,24611,1189,8848.345592975616,33459.34559297562,1,235674.0,1
roberta-large@qnli-71,24715,1085,8744.345592975616,33459.34559297562,1,235674.0,1
roberta-large@stsb-72,25165,635,1100.3455929756165,26265.345592975616,1,12942.0,1
roberta-large@sst2-73,25326,1074,1483.3455929756165,26809.345592975616,1,84190.0,8
roberta-large@sst2-74,25475,1525,1934.3455929756165,27409.345592975616,1,84190.0,8
roberta-large@rte-75,25946,154,366.34559297561646,26312.345592975616,1,4984.0,1
roberta-large@mrpc-76,26066,34,383.34559297561646,26449.345592975616,1,9170,1
roberta-large@wnli-77,26099,1,102.34559297561646,26201.345592975616,1,1590.0,1
roberta-large@stsb-78,26344,56,521.3455929756165,26865.345592975616,1,12942.0,1
roberta-large@qnli-79,26539,161,7820.3455929756165,34359.34559297562,1,235674.0,1
roberta-large@qnli-80,26857,143,4033.3455929756165,30890.345592975616,1,235674.0,2
roberta-large@qnli-81,27150,150,1193.3455929756165,28343.345592975616,1,235674.0,8
roberta-large@wnli-82,27157,143,244.34559297561646,27401.345592975616,1,1590.0,1
roberta-large@sst2-83,27565,35,444.34559297561646,28009.345592975616,1,84190.0,8
roberta-large@qnli-84,27871,29,7688.3455929756165,35559.34559297562,1,235674.0,1
roberta-large@sst2-85,28092,108,517.3455929756165,28609.345592975616,1,84190.0,8
roberta-large@qnli-86,28092,108,1151.3455929756165,29243.345592975616,1,235674.0,8
roberta-large@qnli-87,28092,408,1451.3455929756165,29543.345592975616,1,235674.0,8
roberta-large@sst2-88,28093,707,1116.3455929756165,29209.345592975616,1,84190.0,8
roberta-large@qnli-89,28093,1307,2350.3455929756165,30443.345592975616,1,235674.0,8
